,step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
0,1,6720,64,0.0859197290036354,0.03125,0.03125,0.0959888816278676,0.0,0.0,,
1,2,18560,128,0.0410132840527607,0.03125,0.03125,,,,,
2,3,25792,192,0.0514761128210362,0.140625,0.140625,,,,,
3,4,30976,256,0.0461725916436771,0.46875,0.46875,,,,,
4,5,40768,320,0.0148556838360347,0.90625,0.90625,,,,,
5,6,48000,384,0.0245685301146555,0.875,0.875,,,,,
6,7,53184,448,0.0335397815204123,0.75,0.75,,,,,
7,8,67072,512,0.0133070544573301,0.734375,0.734375,,,,,
8,9,77888,576,0.0148208635194238,0.828125,0.828125,0.0573842467032955,0.375,0.375,,
9,10,87680,640,0.0154214371893383,0.859375,0.859375,,,,,
10,11,100544,704,0.0114742468540964,0.84375,0.84375,,,,,
11,12,106752,768,0.0220808114862181,0.859375,0.859375,,,,,
12,13,115008,832,0.0170433514882006,0.875,0.875,,,,,
13,14,120192,896,0.0245200211707706,0.875,0.875,,,,,
14,15,125888,960,0.0208235619029106,0.875,0.875,,,,,
15,16,132608,1024,0.0180872320366101,0.9375,0.9375,,,,,
16,17,144448,1088,0.0097777833252004,0.859375,0.859375,0.0366142988056422,0.34375,0.34375,,
17,18,152704,1152,0.012882733848312,0.890625,0.890625,,,,,
18,19,166080,1216,0.0093316358790574,0.796875,0.796875,,,,,
19,20,182016,1280,0.0069614995635047,0.859375,0.859375,,,,,
20,21,194880,1344,0.0089456488859923,0.84375,0.84375,,,,,
21,22,205184,1408,0.0105791583995269,0.8125,0.8125,,,,,
22,23,214464,1472,0.0114584664148949,0.859375,0.859375,,,,,
23,24,220160,1536,0.0175466928370257,0.84375,0.84375,,,,,
24,25,226880,1600,0.0136728838194582,0.90625,0.90625,0.0550813610501427,0.375,0.375,,
25,26,237184,1664,0.0092648017029341,0.84375,0.84375,,,,,
26,27,245952,1728,0.0104319337158042,0.875,0.875,,,,,
27,28,250112,1792,0.0238411435743364,0.84375,0.84375,,,,,
28,29,256320,1856,0.0138288065896995,0.875,0.875,,,,,
29,30,262528,1920,0.0150628451655241,0.84375,0.84375,,,,,
30,31,268224,1984,0.0159865042621062,0.875,0.875,,,,,
31,32,275968,2048,0.0107238184235466,0.921875,0.921875,,,,,
32,33,282688,2112,0.0134469562176757,0.828125,0.828125,0.0393096092432181,0.359375,0.359375,,
33,34,289408,2176,0.0124562233912589,0.828125,0.828125,,,,,
34,35,294592,2240,0.0159400306993302,0.84375,0.84375,,,,,
35,36,300800,2304,0.0148877394331634,0.796875,0.796875,,,,,
36,37,312640,2368,0.0078569367090803,0.8125,0.8125,,,,,
37,38,320384,2432,0.0120460836031901,0.765625,0.765625,,,,,
38,39,333248,2496,0.0068621170983107,0.875,0.875,,,,,
39,40,339968,2560,0.0110548398138206,0.9375,0.9375,,,,,
40,41,345664,2624,0.015241149121648,0.8125,0.8125,0.0440029059079071,0.296875,0.296875,,
41,42,351872,2688,0.0134084228986042,0.859375,0.859375,,,,,
42,43,364224,2752,0.007193394901119,0.859375,0.859375,,,,,
43,44,370432,2816,0.0147529677988328,0.78125,0.78125,,,,,
44,45,376128,2880,0.0129345411821519,0.890625,0.890625,,,,,
45,46,382848,2944,0.0113389240814201,0.859375,0.859375,,,,,
46,47,388032,3008,0.0151098658047267,0.8125,0.8125,,,,,
47,48,402432,3072,0.0055234431254556,0.828125,0.828125,,,,,
48,49,406592,3136,0.0185044746018093,0.859375,0.859375,0.0489787775935446,0.296875,0.296875,,
49,50,413312,3200,0.0118241801936318,0.8125,0.8125,,,,,
50,51,427200,3264,0.0051788937307344,0.921875,0.921875,,,,,
51,52,433408,3328,0.0161770150706396,0.6875,0.6875,,,,,
52,53,443712,3392,0.0081340254379865,0.859375,0.859375,,,,,
53,54,451456,3456,0.0107176472496727,0.78125,0.78125,,,,,
54,55,457664,3520,0.0114993423934492,0.84375,0.84375,,,,,
55,56,464384,3584,0.0092842273239525,0.921875,0.921875,,,,,
56,57,471104,3648,0.0114874102087665,0.828125,0.828125,0.0649624493557729,0.328125,0.328125,,
57,58,485504,3712,0.0054075480528523,0.875,0.875,,,,,
58,59,492736,3776,0.0103555645384306,0.828125,0.828125,,,,,
59,60,499456,3840,0.0100216153340268,0.90625,0.90625,,,,,
60,61,510784,3904,0.0066979133353412,0.875,0.875,,,,,
61,62,517504,3968,0.0109437674614036,0.875,0.875,,,,,
62,63,525248,4032,0.0075661576099864,0.953125,0.953125,,,,,
63,64,530944,4096,0.0146203808607407,0.796875,0.796875,,,,,
64,65,537664,4160,0.0114275725895063,0.828125,0.828125,0.0598748917217708,0.421875,0.421875,,
65,66,543872,4224,0.0099343113433171,0.90625,0.90625,,,,,
66,67,549568,4288,0.0130993223832811,0.84375,0.84375,,,,,
67,68,563968,4352,0.0052007153584145,0.78125,0.78125,,,,,
68,69,570176,4416,0.0140145390769419,0.765625,0.765625,,,,,
69,70,587136,4480,0.0042803875234974,0.828125,0.828125,,,,,
70,71,597952,4544,0.007089575682438,0.875,0.875,,,,,
71,72,611328,4608,0.006181767773552,0.75,0.75,,,,,
72,73,623168,4672,0.0055700886466427,0.859375,0.859375,0.0714909725525527,0.28125,0.28125,,
73,74,631936,4736,0.0083373462154789,0.84375,0.84375,,,,,
74,75,637632,4800,0.0115319004509989,0.859375,0.859375,,,,,
75,76,646912,4864,0.0066795851528932,0.921875,0.921875,,,,,
76,77,652608,4928,0.0133398027789408,0.8125,0.8125,,,,,
77,78,659840,4992,0.0091122728530035,0.859375,0.859375,,,,,
78,79,668096,5056,0.007301946452585,0.90625,0.90625,,,,,
79,80,673280,5120,0.011838961290543,0.890625,0.890625,,,,,
80,81,681024,5184,0.0081632981388708,0.90625,0.90625,0.0500079151855607,0.3125,0.3125,,
81,82,690304,5248,0.0075396043384241,0.875,0.875,,,,,
82,83,699072,5312,0.0088658704712128,0.78125,0.78125,,,,,
83,84,720128,5376,0.0028561687957804,0.9375,0.9375,,,,,
84,85,734528,5440,0.0060688810367537,0.8125,0.8125,,,,,
85,86,740224,5504,0.0126555199156419,0.78125,0.78125,,,,,
86,87,746944,5568,0.0093649783164297,0.890625,0.890625,,,,,
87,88,753152,5632,0.01108628865843,0.84375,0.84375,,,,,
88,89,761920,5696,0.0099382400788973,0.78125,0.78125,0.0363533004001062,0.375,0.375,,
89,90,772224,5760,0.0067241693210253,0.84375,0.84375,,,,,
90,91,779968,5824,0.009613089882459,0.78125,0.78125,,,,,
91,92,787712,5888,0.0090013919066635,0.8125,0.8125,,,,,
92,93,793408,5952,0.0115653822569633,0.84375,0.84375,,,,,
93,94,800128,6016,0.0099780976571925,0.875,0.875,,,,,
94,95,809408,6080,0.0073431575549816,0.890625,0.890625,,,,,
95,96,815104,6144,0.0152264433783797,0.78125,0.78125,,,,,
96,97,828992,6208,0.0054694508790119,0.828125,0.828125,0.0412228189760571,0.390625,0.390625,,
97,98,842880,6272,0.0049981976808788,0.859375,0.859375,,,,,
98,99,847552,6336,0.015900588933041,0.765625,0.765625,,,,,
99,100,854272,6400,0.0100914755554262,0.796875,0.796875,,,,,
100,101,860480,6464,0.0113402663017404,0.859375,0.859375,,,,,
101,102,870784,6528,0.007225186188758,0.78125,0.78125,,,,,
102,103,875968,6592,0.0135477019040808,0.859375,0.859375,,,,,
103,104,882688,6656,0.0086191506856609,0.90625,0.90625,,,,,
104,105,897600,6720,0.0037057576880182,0.921875,0.921875,0.0490047713480016,0.359375,0.359375,,
105,106,905856,6784,0.0077649227540285,0.890625,0.890625,,,,,
106,107,911552,6848,0.0105609294082325,0.90625,0.90625,,,,,
107,108,919808,6912,0.0072659933498167,0.890625,0.890625,,,,,
108,109,925504,6976,0.0117148083613921,0.859375,0.859375,,,,,
109,110,932224,7040,0.0088656967199012,0.90625,0.90625,,,,,
110,111,939456,7104,0.0076283365324096,0.890625,0.890625,,,,,
111,112,945664,7168,0.0104640606149049,0.828125,0.828125,,,,,
112,113,955968,7232,0.0053728783776514,0.9375,0.9375,0.0514776127841283,0.359375,0.359375,,
113,114,962176,7296,0.0096507876708835,0.875,0.875,,,,,
114,115,973504,7360,0.0057427531174404,0.859375,0.859375,,,,,
115,116,988416,7424,0.0041616249526032,0.84375,0.84375,,,,,
116,117,993600,7488,0.0096532188538622,0.859375,0.859375,,,,,
117,118,1000320,7552,0.0086657613048672,0.875,0.875,,,,,
118,119,1008576,7616,0.0080697531659757,0.875,0.875,,,,,
119,120,1021952,7680,0.0049462529766594,0.8125,0.8125,,,,,
120,121,1027136,7744,0.0103067889279575,0.90625,0.90625,0.0521285270432632,0.4375,0.4375,,
121,122,1032832,7808,0.0098262731042003,0.921875,0.921875,,,,,
122,123,1040064,7872,0.0091506631967549,0.84375,0.84375,,,,,
123,124,1047296,7936,0.0078626139055518,0.90625,0.90625,,,,,
124,125,1059648,8000,0.0047403126923889,0.90625,0.90625,,,,,
125,126,1065856,8064,0.0091504229944757,0.828125,0.828125,,,,,
126,127,1072576,8128,0.0091367041002558,0.859375,0.859375,,,,,
127,128,1079296,8192,0.0093880027708246,0.859375,0.859375,,,,,
128,129,1085504,8256,0.0087534067235045,0.875,0.875,0.0606451725923562,0.28125,0.28125,,
129,130,1097344,8320,0.0055314001170741,0.859375,0.859375,,,,,
130,131,1104064,8384,0.0137227251665325,0.6875,0.6875,,,,,
131,132,1114880,8448,0.0053292701045336,0.859375,0.859375,,,,,
132,133,1120064,8512,0.0141802978787395,0.75,0.75,,,,,
133,134,1141120,8576,0.0036694477805221,0.75,0.75,,,,,
134,135,1145792,8640,0.0125781137725754,0.859375,0.859375,,,,,
135,136,1155584,8704,0.0059309865848691,0.890625,0.890625,,,,,
136,137,1168960,8768,0.0045804702448649,0.890625,0.890625,0.0640861459503088,0.4375,0.4375,,
137,138,1177728,8832,0.0068903444012852,0.859375,0.859375,,,,,
138,139,1183424,8896,0.0112745049614994,0.828125,0.828125,,,,,
139,140,1189632,8960,0.0104044329002313,0.859375,0.859375,,,,,
140,141,1195328,9024,0.0128462734084624,0.796875,0.796875,,,,,
141,142,1201536,9088,0.0091024579468599,0.859375,0.859375,,,,,
142,143,1207744,9152,0.0088141169233979,0.921875,0.921875,,,,,
143,144,1217536,9216,0.0064084332143776,0.828125,0.828125,,,,,
144,145,1224256,9280,0.0090897860218851,0.890625,0.890625,0.0448116313047529,0.453125,0.453125,,
145,146,1230464,9344,0.0097446137072131,0.90625,0.90625,,,,,
146,147,1236160,9408,0.010073207263922,0.859375,0.859375,,,,,
147,148,1243392,9472,0.0080933153001374,0.890625,0.890625,,,,,
148,149,1252672,9536,0.006841967863206,0.84375,0.84375,,,,,
149,150,1259904,9600,0.0091850989869112,0.875,0.875,,,,,
150,151,1267648,9664,0.0095190240739025,0.8125,0.8125,,,,,
151,152,1275904,9728,0.0065042794716041,0.90625,0.90625,,,,,
152,153,1281600,9792,0.0106032762299044,0.875,0.875,0.058382577169183,0.28125,0.28125,,
153,154,1296000,9856,0.0042487063857353,0.796875,0.796875,,,,,
154,155,1304768,9920,0.0070715619163022,0.84375,0.84375,,,,,
155,156,1311488,9984,0.0093449478737338,0.890625,0.890625,,,,,
156,157,1318720,10048,0.0081494639237884,0.875,0.875,,,,,
157,158,1333632,10112,0.0044271431445466,0.828125,0.828125,,,,,
158,159,1340864,10176,0.0078841875659814,0.875,0.875,,,,,
159,160,1346560,10240,0.0101464132020336,0.90625,0.90625,,,,,
160,161,1356352,10304,0.0071236928685749,0.75,0.75,0.0386665786032904,0.34375,0.34375,,
161,162,1361024,10368,0.0100089057169043,0.90625,0.90625,,,,,
162,163,1369280,10432,0.007636838657028,0.859375,0.859375,,,,,
