,step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
0,1,12352,64,0.0462976259328885,0.03125,0.03125,0.0855432593008145,0.0,0.0,,
1,2,17536,128,0.0902062165403504,0.03125,0.03125,,,,,
2,3,34496,192,0.0213998177159224,0.15625,0.15625,,,,,
3,4,42752,256,0.0251813706714801,0.59375,0.59375,,,,,
4,5,56128,320,0.013099849875868,0.875,0.875,,,,,
5,6,62336,384,0.0294126603170874,0.828125,0.828125,,,,,
6,7,71104,448,0.0215229470789071,0.859375,0.859375,,,,,
7,8,75776,512,0.0312996547146596,0.921875,0.921875,,,,,
8,9,85056,576,0.0178973550512778,0.84375,0.84375,0.0427655915088888,0.265625,0.265625,,
9,10,92288,640,0.0214682593676427,0.875,0.875,,,,,
10,11,99520,704,0.0178020362182828,0.96875,0.96875,,,,,
11,12,106240,768,0.0193260926604405,0.90625,0.90625,,,,,
12,13,118080,832,0.0107914186435442,0.90625,0.90625,,,,,
13,14,123776,896,0.0216558676621207,0.890625,0.890625,,,,,
14,15,128960,960,0.0243693429986742,0.890625,0.890625,,,,,
15,16,137216,1024,0.0140638715121531,0.90625,0.90625,,,,,
16,17,145984,1088,0.0124852250991791,0.921875,0.921875,0.0324076928912436,0.390625,0.390625,,
17,18,152192,1152,0.0186873625684832,0.859375,0.859375,,,,,
18,19,157376,1216,0.0211176131957763,0.875,0.875,,,,,
19,20,162560,1280,0.0215471201409745,0.84375,0.84375,,,,,
20,21,171328,1344,0.0125130207171477,0.921875,0.921875,,,,,
21,22,176512,1408,0.0187013552734861,0.90625,0.90625,,,,,
22,23,187328,1472,0.0100585734562766,0.875,0.875,,,,,
23,24,201728,1536,0.0073279682477862,0.859375,0.859375,,,,,
24,25,208960,1600,0.0111318597914188,0.96875,0.96875,0.0363143311144284,0.375,0.375,,
25,26,217216,1664,0.0119579591847877,0.890625,0.890625,,,,,
26,27,223936,1728,0.0138172646421998,0.890625,0.890625,,,,,
27,28,236800,1792,0.0087111944711497,0.84375,0.84375,,,,,
28,29,243520,1856,0.0154175134411539,0.84375,0.84375,,,,,
29,30,251264,1920,0.0110052662804761,0.90625,0.90625,,,,,
30,31,256448,1984,0.0159842067727004,0.9375,0.9375,,,,,
31,32,269312,2048,0.0059980117086364,0.953125,0.953125,,,,,
32,33,277056,2112,0.0121390438173196,0.859375,0.859375,0.0374453435626194,0.296875,0.296875,,
33,34,282752,2176,0.0165077380523209,0.859375,0.859375,,,,,
34,35,288960,2240,0.0130106804330565,0.921875,0.921875,,,,,
35,36,296704,2304,0.0107144841318283,0.90625,0.90625,,,,,
36,37,303424,2368,0.0132369539587174,0.890625,0.890625,,,,,
37,38,308096,2432,0.0173769051509993,0.921875,0.921875,,,,,
38,39,314304,2496,0.0133273462857717,0.90625,0.90625,,,,,
39,40,324608,2560,0.0076973939233121,0.9375,0.9375,,,,,
40,41,330816,2624,0.0134817208485522,0.921875,0.921875,0.0230652441153402,0.390625,0.390625,,
41,42,345216,2688,0.007135321154388,0.859375,0.859375,,,,,
42,43,353984,2752,0.0096320550769065,0.890625,0.890625,,,,,
43,44,361216,2816,0.0113281541547881,0.875,0.875,,,,,
44,45,368960,2880,0.0114003130020743,0.875,0.875,,,,,
45,46,374144,2944,0.0153373426109592,0.90625,0.90625,,,,,
46,47,388544,3008,0.005745414650255,0.9375,0.9375,,,,,
47,48,396800,3072,0.0082139961912082,0.953125,0.953125,,,,,
48,49,404544,3136,0.0114498066055336,0.875,0.875,0.0246222318026723,0.40625,0.40625,,
49,50,410752,3200,0.0127900677299718,0.859375,0.859375,,,,,
50,51,425664,3264,0.0060851054770783,0.859375,0.859375,,,,,
51,52,432896,3328,0.0123389349849276,0.84375,0.84375,,,,,
52,53,439616,3392,0.0123571785856053,0.84375,0.84375,,,,,
53,54,447360,3456,0.0103700671690821,0.921875,0.921875,,,,,
54,55,452032,3520,0.0136596706458415,0.984375,0.984375,,,,,
55,56,461824,3584,0.0059550045272025,0.953125,0.953125,,,,,
56,57,469568,3648,0.0092046715459481,0.890625,0.890625,0.0300503573499918,0.390625,0.390625,,
57,58,475264,3712,0.0131739504982211,0.90625,0.90625,,,,,
58,59,489152,3776,0.0067280906435171,0.828125,0.828125,,,,,
59,60,494848,3840,0.0156160797546635,0.8125,0.8125,,,,,
60,61,509248,3904,0.0056960588323301,0.890625,0.890625,,,,,
61,62,515968,3968,0.0105728526150049,0.890625,0.890625,,,,,
62,63,522176,4032,0.0117158429002362,0.90625,0.90625,,,,,
63,64,527360,4096,0.0137647400379482,0.859375,0.859375,,,,,
64,65,536128,4160,0.0079721926210533,0.890625,0.890625,0.0229273252265487,0.34375,0.34375,,
65,66,542336,4224,0.0109987458045717,0.921875,0.921875,,,,,
66,67,556224,4288,0.0050750401706513,0.9375,0.9375,,,,,
67,68,564480,4352,0.0099538660549478,0.859375,0.859375,,,,,
68,69,570176,4416,0.0170859136228748,0.796875,0.796875,,,,,
69,70,582016,4480,0.0058921839450633,0.90625,0.90625,,,,,
70,71,589760,4544,0.0102859747278246,0.859375,0.859375,,,,,
71,72,595968,4608,0.0106499621855285,0.921875,0.921875,,,,,
72,73,602688,4672,0.0100444337565848,0.90625,0.90625,0.0321886100516481,0.3125,0.3125,,
73,74,607872,4736,0.0129931151048735,0.90625,0.90625,,,,,
74,75,614080,4800,0.0129043058928482,0.859375,0.859375,,,,,
75,76,619776,4864,0.0111966359648638,0.9375,0.9375,,,,,
76,77,626496,4928,0.0096434667945947,0.9375,0.9375,,,,,
77,78,632192,4992,0.0103876600475045,0.953125,0.953125,,,,,
78,79,640448,5056,0.0097829200745323,0.859375,0.859375,,,,,
79,80,648704,5120,0.008279504053977,0.90625,0.90625,,,,,
80,81,655936,5184,0.0093557939543081,0.875,0.875,0.0280720451849265,0.34375,0.34375,,
81,82,662144,5248,0.0096625381491802,0.9375,0.9375,,,,,
82,83,673984,5312,0.0055068090232858,0.90625,0.90625,,,,,
83,84,682752,5376,0.0081300452338095,0.890625,0.890625,,,,,
84,85,689472,5440,0.0107505788067185,0.875,0.875,,,,,
85,86,696192,5504,0.0105981512768826,0.875,0.875,,,,,
86,87,705984,5568,0.0071719460029855,0.953125,0.953125,,,,,
87,88,711680,5632,0.0103925673678002,0.9375,0.9375,,,,,
88,89,716352,5696,0.0124258305796992,0.921875,0.921875,0.0398445591346464,0.375,0.375,,
89,90,723584,5760,0.009994188951587,0.890625,0.890625,,,,,
90,91,730304,5824,0.0093810109480546,0.921875,0.921875,,,,,
91,92,736512,5888,0.0117924324350572,0.859375,0.859375,,,,,
92,93,750400,5952,0.0049491683039923,0.90625,0.90625,,,,,
93,94,757120,6016,0.0084155981964804,0.90625,0.90625,,,,,
94,95,763840,6080,0.0089711428735413,0.9375,0.9375,,,,,
95,96,770048,6144,0.0109929861845228,0.875,0.875,,,,,
96,97,776768,6208,0.0085989561703333,0.953125,0.953125,0.029840771901826,0.359375,0.359375,,
97,98,784512,6272,0.0078428883093226,0.875,0.875,,,,,
98,99,791232,6336,0.0088061129793924,0.96875,0.96875,,,,,
99,100,801024,6400,0.0063114744066057,0.921875,0.921875,,,,,
100,101,808256,6464,0.0084065495182835,0.90625,0.90625,,,,,
101,102,814464,6528,0.0126153304736662,0.859375,0.859375,,,,,
102,103,830912,6592,0.0038026793039186,0.9375,0.9375,,,,,
103,104,845824,6656,0.0037502969043368,0.953125,0.953125,,,,,
104,105,853568,6720,0.0083131818062611,0.90625,0.90625,0.0267260103433485,0.390625,0.390625,,
105,106,862848,6784,0.0056749164499035,0.9375,0.9375,,,,,
106,107,868544,6848,0.0123432417968053,0.859375,0.859375,,,,,
107,108,875776,6912,0.0106057016965606,0.828125,0.828125,,,,,
108,109,884544,6976,0.0060411480163448,0.9375,0.9375,,,,,
109,110,891264,7040,0.0096521604764052,0.875,0.875,,,,,
110,111,897984,7104,0.0081053248335122,0.9375,0.9375,,,,,
111,112,905216,7168,0.0073596737319379,0.953125,0.953125,,,,,
112,113,914496,7232,0.006996609677658,0.890625,0.890625,0.0347007025918602,0.421875,0.421875,,
113,114,923776,7296,0.0060845390595298,0.9375,0.9375,,,,,
114,115,932032,7360,0.0092592315356559,0.828125,0.828125,,,,,
115,116,937728,7424,0.0121158258148174,0.828125,0.828125,,,,,
116,117,947520,7488,0.0077746157793558,0.796875,0.796875,,,,,
117,118,953728,7552,0.0097096719125109,0.921875,0.921875,,,,,
118,119,960448,7616,0.0082351821809405,0.921875,0.921875,,,,,
119,120,967168,7680,0.0082116294133342,0.921875,0.921875,,,,,
120,121,977984,7744,0.0053367056705991,0.90625,0.90625,0.0283075656111598,0.328125,0.328125,,
121,122,984192,7808,0.0083714162537792,0.921875,0.921875,,,,,
122,123,989888,7872,0.0106922483305007,0.921875,0.921875,,,,,
123,124,996608,7936,0.0101526648400478,0.90625,0.90625,,,,,
124,125,1011008,8000,0.0061425555000674,0.828125,0.828125,,,,,
125,126,1017216,8064,0.0090672300555014,0.90625,0.90625,,,,,
126,127,1027520,8128,0.0061691194206894,0.921875,0.921875,,,,,
127,128,1033216,8192,0.0106946752207583,0.921875,0.921875,,,,,
128,129,1037888,8256,0.0132165752233787,0.890625,0.890625,0.0314605469992142,0.390625,0.390625,,
129,130,1049728,8320,0.0052134272643568,0.90625,0.90625,,,,,
130,131,1055424,8384,0.0116116963884397,0.890625,0.890625,,,,,
131,132,1061632,8448,0.0109523175425192,0.890625,0.890625,,,,,
132,133,1069376,8512,0.0078629792399525,0.90625,0.90625,,,,,
