,count_list,correct_list
0,3,3
1,2,2
2,7,7
3,8,8
4,7,7
5,9,8
6,6,6
7,4,4
8,6,4
9,18,13
10,16,15
11,4,3
12,6,5
13,7,7
14,7,5
15,8,8
16,12,12
17,4,4
18,1,1
19,6,5
20,9,8
21,4,4
22,8,8
23,0,0
24,2,2
25,6,6
26,21,20
27,2,2
28,9,8
29,3,3
30,7,6
31,8,7
32,5,5
33,6,5
34,13,13
35,7,6
36,0,0
37,6,6
38,4,4
39,5,3
40,3,2
41,3,3
42,7,7
43,6,6
44,3,2
45,4,4
46,7,6
47,6,6
48,10,10
49,6,4
50,5,4
51,6,6
52,2,2
53,5,5
54,16,15
55,10,9
56,1,1
57,5,5
58,7,5
59,15,14
60,6,6
61,5,5
62,5,4
63,8,8
64,6,6
65,4,4
66,7,6
67,3,3
68,3,3
69,24,22
70,5,5
71,5,4
72,4,4
73,6,6
74,6,6
75,8,8
76,2,2
77,8,8
78,5,4
79,2,1
80,4,2
81,1,1
82,8,8
83,8,6
84,8,8
85,6,6
86,4,4
87,4,4
88,2,2
89,4,4
90,10,9
91,8,8
92,5,5
93,2,1
94,5,4
95,4,4
96,7,7
97,7,7
98,3,3
99,9,3
100,6,5
101,3,1
102,10,9
103,7,7
104,8,8
105,7,7
106,3,3
107,5,5
108,4,4
109,3,3
110,2,2
111,4,4
112,3,1
113,8,8
114,2,2
115,4,4
116,2,2
117,11,11
118,7,7
119,58,58
120,5,5
121,7,7
122,6,6
123,0,0
124,4,4
125,2,2
126,9,7
127,7,5
128,2,2
129,7,7
130,4,4
131,4,4
132,6,6
133,7,5
134,4,4
135,5,5
136,3,3
137,4,4
138,7,7
139,4,4
140,1,1
141,2,2
142,18,17
143,4,3
144,7,7
145,0,0
146,7,7
147,5,5
148,1,1
149,10,3
150,6,5
151,5,5
152,2,2
153,5,5
154,5,2
155,6,6
156,7,7
157,6,6
158,5,5
159,5,5
160,4,2
161,5,3
162,10,10
163,8,8
164,0,0
165,9,8
166,8,7
167,2,2
168,3,3
169,18,18
170,2,2
171,3,3
172,3,3
173,5,4
174,4,2
175,9,9
176,2,2
177,3,3
178,9,5
