,step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
0,1,5184,64,0.1010026264057387,0.015625,0.015625,0.061195105663474,0.09375,0.09375,,
1,2,13952,128,0.05905456942261,0.015625,0.015625,,,,,
2,3,22720,192,0.0420073725002562,0.140625,0.140625,,,,,
3,4,54016,256,0.0070309272432475,0.53125,0.53125,,,,,
4,5,68416,320,0.0117020764489825,0.8125,0.8125,,,,,
5,6,77184,384,0.0210564738466949,0.8125,0.8125,,,,,
6,7,83904,448,0.024578720242985,0.828125,0.828125,,,,,
7,8,92160,512,0.0188992626426079,0.828125,0.828125,,,,,
8,9,98880,576,0.0229307955183321,0.828125,0.828125,0.0233919798067654,0.84375,0.84375,,
9,10,107648,640,0.0163590204572263,0.859375,0.859375,,,,,
10,11,114368,704,0.0207977250765207,0.84375,0.84375,,,,,
11,12,126208,768,0.0117453621421547,0.796875,0.796875,,,,,
12,13,148288,832,0.0062591793925703,0.859375,0.859375,,,,,
13,14,154496,896,0.0208143098118004,0.796875,0.796875,,,,,
14,15,161216,960,0.0171764001655481,0.859375,0.859375,,,,,
15,16,168448,1024,0.0152469056678819,0.859375,0.859375,,,,,
16,17,181824,1088,0.0085775692570538,0.828125,0.828125,0.0195985535703584,0.796875,0.796875,,
17,18,189056,1152,0.0147678526742986,0.875,0.875,,,,,
18,19,195776,1216,0.0167026090854163,0.828125,0.828125,,,,,
19,20,202496,1280,0.0134751383160395,0.890625,0.890625,,,,,
20,21,214336,1344,0.0086894412310278,0.875,0.875,,,,,
21,22,221568,1408,0.0156254972263559,0.78125,0.78125,,,,,
22,23,227264,1472,0.01814519536656,0.84375,0.84375,,,,,
23,24,236032,1536,0.010921579681725,0.859375,0.859375,,,,,
24,25,244288,1600,0.0116039624102336,0.84375,0.84375,0.0072673021553468,0.78125,0.78125,,
25,26,250496,1664,0.0142045513107132,0.890625,0.890625,,,,,
26,27,256704,1728,0.0154360178675415,0.796875,0.796875,,,,,
27,28,263936,1792,0.0120725360866604,0.765625,0.765625,,,,,
28,29,270656,1856,0.0121326597939948,0.84375,0.84375,,,,,
29,30,283008,1920,0.0080271633655979,0.78125,0.78125,,,,,
30,31,289216,1984,0.0122019861183707,0.921875,0.921875,,,,,
31,32,297984,2048,0.0101192442190885,0.859375,0.859375,,,,,
32,33,304704,2112,0.0110714907795381,0.890625,0.890625,0.0070425469895326,0.78125,0.78125,,
33,34,312448,2176,0.0099350327298634,0.890625,0.890625,,,,,
34,35,319680,2240,0.0109646672119704,0.90625,0.90625,,,,,
35,36,333056,2304,0.0067149310671014,0.796875,0.796875,,,,,
36,37,337728,2368,0.0165993872098887,0.828125,0.828125,,,,,
37,38,344448,2432,0.0118058544713487,0.828125,0.828125,,,,,
38,39,351168,2496,0.0127912253279506,0.796875,0.796875,,,,,
39,40,357376,2560,0.0123325283219454,0.875,0.875,,,,,
40,41,362560,2624,0.0155313358780749,0.859375,0.859375,0.0061099786737624,0.84375,0.84375,,
41,42,370304,2688,0.0108947831345855,0.8125,0.8125,,,,,
42,43,378048,2752,0.0097275310662056,0.859375,0.859375,,,,,
43,44,384256,2816,0.0108991366484284,0.90625,0.90625,,,,,
44,45,390464,2880,0.0123752924534225,0.890625,0.890625,,,,,
45,46,397696,2944,0.0107017519122291,0.84375,0.84375,,,,,
46,47,404928,3008,0.010192580770939,0.90625,0.90625,,,,,
47,48,419328,3072,0.0061135535206608,0.75,0.75,,,,,
48,49,426560,3136,0.0095244912328829,0.859375,0.859375,0.0127970496600455,0.859375,0.859375,,
49,50,433280,3200,0.0106953292415465,0.890625,0.890625,,,,,
50,51,441536,3264,0.0083654451883671,0.890625,0.890625,,,,,
51,52,451840,3328,0.006953909480379,0.859375,0.859375,,,,,
52,53,463680,3392,0.0068922886374162,0.84375,0.84375,,,,,
53,54,470912,3456,0.0101093256481609,0.84375,0.84375,,,,,
54,55,479680,3520,0.0083996457985337,0.8125,0.8125,,,,,
55,56,486912,3584,0.0086364177709642,0.90625,0.90625,,,,,
56,57,499264,3648,0.0061377485927721,0.859375,0.859375,0.0134277902881322,0.828125,0.828125,,
57,58,504448,3712,0.0138528038527729,0.796875,0.796875,,,,,
58,59,514240,3776,0.0087555139051719,0.78125,0.78125,,,,,
59,60,535296,3840,0.004062028483617,0.765625,0.765625,,,,,
60,61,542528,3904,0.0111100374587009,0.796875,0.796875,,,,,
61,62,552320,3968,0.007619431446147,0.859375,0.859375,,,,,
62,63,557504,4032,0.0183326827060682,0.71875,0.71875,,,,,
63,64,563200,4096,0.0123020345357376,0.828125,0.828125,,,,,
64,65,570432,4160,0.0103142801235753,0.796875,0.796875,0.0062983427345268,0.75,0.75,,
65,66,578176,4224,0.0105328314871876,0.703125,0.703125,,,,,
66,67,584384,4288,0.0136755362705631,0.703125,0.703125,,,,,
67,68,590592,4352,0.0119193957887455,0.828125,0.828125,,,,,
68,69,597312,4416,0.0123572691081678,0.828125,0.828125,,,,,
69,70,604032,4480,0.0111835704590969,0.875,0.875,,,,,
70,71,612800,4544,0.0090866142572453,0.859375,0.859375,,,,,
71,72,621056,4608,0.0104999864824435,0.796875,0.796875,,,,,
72,73,626752,4672,0.0151351913628009,0.734375,0.734375,0.0042157805358756,0.859375,0.859375,,
73,74,632448,4736,0.0126623175460793,0.765625,0.765625,,,,,
74,75,638144,4800,0.0129411635814081,0.859375,0.859375,,,,,
75,76,643840,4864,0.0134303239272941,0.75,0.75,,,,,
76,77,653632,4928,0.0073163868504573,0.875,0.875,,,,,
77,78,658816,4992,0.013583318950059,0.828125,0.828125,,,,,
78,79,665024,5056,0.0106252068301031,0.859375,0.859375,,,,,
79,80,671744,5120,0.010447177550363,0.828125,0.828125,,,,,
80,81,679488,5184,0.0107795326476785,0.8125,0.8125,0.0106853859891956,0.953125,0.953125,,
81,82,686208,5248,0.012164373776201,0.8125,0.8125,,,,,
82,83,693440,5312,0.0089392409224209,0.90625,0.90625,,,,,
83,84,698624,5376,0.0143744652349414,0.828125,0.828125,,,,,
84,85,706368,5440,0.0082592357423254,0.921875,0.921875,,,,,
85,86,716160,5504,0.0082454294673277,0.875,0.875,,,,,
86,87,724416,5568,0.0092443756832949,0.84375,0.84375,,,,,
87,88,731136,5632,0.0113258659601349,0.875,0.875,,,,,
88,89,741440,5696,0.0067347003049508,0.890625,0.890625,0.0103277548963554,0.875,0.875,,
89,90,746624,5760,0.0135578774740861,0.875,0.875,,,,,
90,91,752320,5824,0.0122677337224658,0.796875,0.796875,,,,,
91,92,758528,5888,0.0102521338341807,0.828125,0.828125,,,,,
92,93,768320,5952,0.0075795286585334,0.828125,0.828125,,,,,
93,94,778112,6016,0.0060752410326052,0.90625,0.90625,,,,,
94,95,784320,6080,0.0108064587724413,0.84375,0.84375,,,,,
95,96,792064,6144,0.0095619239970359,0.828125,0.828125,,,,,
96,97,805952,6208,0.0047333810243511,0.90625,0.90625,0.0109552627654461,0.78125,0.78125,,
97,98,811648,6272,0.010510999319407,0.90625,0.90625,,,,,
98,99,817856,6336,0.0114806798179855,0.796875,0.796875,,,,,
99,100,838912,6400,0.0029434808268711,0.921875,0.921875,,,,,
100,101,851776,6464,0.0054584910433293,0.828125,0.828125,,,,,
101,102,865664,6528,0.0047929449075163,0.890625,0.890625,,,,,
102,103,873408,6592,0.0088600866050943,0.84375,0.84375,,,,,
103,104,884224,6656,0.0068236846911902,0.84375,0.84375,,,,,
104,105,890432,6720,0.010322894377006,0.84375,0.84375,0.0045107904373316,0.875,0.875,,
105,106,896640,6784,0.0105921397178417,0.890625,0.890625,,,,,
106,107,902848,6848,0.0100640558055859,0.84375,0.84375,,,,,
107,108,911104,6912,0.0071857622252764,0.921875,0.921875,,,,,
108,109,917312,6976,0.0109236352486631,0.90625,0.90625,,,,,
109,110,924544,7040,0.0084574845051572,0.859375,0.859375,,,,,
