,step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
0,1,2336,32,0.11897522325081,0.0,0.0,0.0946584363395562,0.0,0.0,,
1,2,6208,64,0.0660283910651342,0.03125,0.03125,,,,,
2,3,9568,96,0.053606143847068,0.15625,0.15625,,,,,
3,4,15488,128,0.0178421025361066,0.625,0.625,,,,,
4,5,20896,160,0.0135780548816027,0.90625,0.90625,,,,,
5,6,25536,192,0.0211049213476568,0.96875,0.96875,,,,,
6,7,28896,224,0.0261409555472626,0.90625,0.90625,,,,,
7,8,35584,256,0.0104360722478528,0.9375,0.9375,,,,,
8,9,38688,288,0.0214036505874537,0.96875,0.96875,0.0317706015832664,0.90625,0.90625,,
9,10,41536,320,0.0259499842985744,0.875,0.875,,,,,
10,11,44384,352,0.023678695715604,0.9375,0.9375,,,,,
11,12,46464,384,0.0254935195051803,0.96875,0.96875,,,,,
12,13,49824,416,0.0257210520504248,0.78125,0.78125,,,,,
13,14,52672,448,0.0183708794777207,0.9375,0.9375,,,,,
14,15,55264,480,0.0233814313751354,0.84375,0.84375,,,,,
15,16,57856,512,0.0192657057543256,0.90625,0.90625,,,,,
16,17,60704,544,0.0167062242268134,0.96875,0.96875,0.0080424546051761,0.875,0.875,,
17,18,64576,576,0.0117348239238102,0.96875,0.96875,,,,,
18,19,67424,608,0.0225258530026291,0.8125,0.8125,,,,,
19,20,70784,640,0.0172611117929381,0.84375,0.84375,,,,,
20,21,72608,672,0.0247651151567697,0.90625,0.90625,,,,,
21,22,75456,704,0.014005476124955,0.9375,0.9375,,,,,
22,23,78560,736,0.0180379030685192,0.84375,0.84375,,,,,
23,24,80896,768,0.0179265882856109,0.9375,0.9375,,,,,
24,25,83744,800,0.0185758754957615,0.84375,0.84375,0.0101794996742028,0.96875,0.96875,,
25,26,89408,832,0.0090980481203521,0.84375,0.84375,,,,,
26,27,96352,864,0.0077519451748122,0.78125,0.78125,,,,,
27,28,100224,896,0.0116431791304009,0.90625,0.90625,,,,,
28,29,103328,928,0.0120411594917459,1.0,1.0,,,,,
29,30,107456,960,0.009521000261916,0.9375,0.9375,,,,,
30,31,110560,992,0.0170577024954885,0.84375,0.84375,,,,,
31,32,113664,1024,0.0106892654570037,1.0,1.0,,,,,
32,33,117792,1056,0.0101734770706389,0.875,0.875,0.01723241631579,0.90625,0.90625,,
33,34,120896,1088,0.0117521689399912,0.9375,0.9375,,,,,
34,35,123488,1120,0.0135091956564101,0.9375,0.9375,,,,,
35,36,131968,1152,0.0053127981404164,0.90625,0.90625,,,,,
36,37,134048,1184,0.0279462414646195,0.75,0.75,,,,,
37,38,136896,1216,0.0145767026328245,0.90625,0.90625,,,,,
38,39,140768,1248,0.0088757172824819,1.0,1.0,,,,,
39,40,147712,1280,0.0067614444774355,0.8125,0.8125,,,,,
40,41,150048,1312,0.0171170410921392,0.84375,0.84375,0.0186998286175852,0.875,0.875,,
41,42,153920,1344,0.0113463262209697,0.90625,0.90625,,,,,
42,43,156512,1376,0.0159515496425083,0.9375,0.9375,,,,,
43,44,159616,1408,0.0119336083734864,0.90625,0.90625,,,,,
44,45,162208,1440,0.0162553642802304,0.875,0.875,,,,,
45,46,165056,1472,0.0116300514724968,0.9375,0.9375,,,,,
46,47,168416,1504,0.0151678093173429,0.84375,0.84375,,,,,
47,48,171008,1536,0.014307808246529,0.90625,0.90625,,,,,
48,49,174368,1568,0.0144149567848832,0.8125,0.8125,0.0158677932621503,0.875,0.875,,
49,50,181568,1600,0.0058024416116398,0.90625,0.90625,,,,,
50,51,184672,1632,0.0130124737820309,0.90625,0.90625,,,,,
51,52,186752,1664,0.0203319021289371,0.84375,0.84375,,,,,
52,53,189856,1696,0.0096061278405917,0.96875,0.96875,,,,,
53,54,192704,1728,0.0150956322240645,0.84375,0.84375,,,,,
54,55,195552,1760,0.0118165756281831,0.96875,0.96875,,,,,
55,56,198400,1792,0.0142715768839909,0.90625,0.90625,,,,,
56,57,206880,1824,0.0067993800293328,0.71875,0.71875,0.0135411259667711,0.96875,0.96875,,
57,58,209728,1856,0.0146190950124252,0.90625,0.90625,,,,,
58,59,212320,1888,0.0128610616523619,0.9375,0.9375,,,,,
59,60,215168,1920,0.0155724518531761,0.84375,0.84375,,,,,
60,61,218272,1952,0.0112613622620726,0.9375,0.9375,,,,,
61,62,220608,1984,0.0168359809679087,0.875,0.875,,,,,
62,63,223712,2016,0.0125248921294102,0.90625,0.90625,,,,,
63,64,226816,2048,0.0134319777155421,0.84375,0.84375,,,,,
64,65,229920,2080,0.0122716625402608,0.90625,0.90625,0.0159160603530876,0.9375,0.9375,,
65,66,232512,2112,0.0119263314668241,0.96875,0.96875,,,,,
66,67,235616,2144,0.0098965238139832,0.96875,0.96875,,,,,
67,68,238464,2176,0.0142145878500047,0.84375,0.84375,,,,,
68,69,242592,2208,0.0101133056585922,0.8125,0.8125,,,,,
69,70,245184,2240,0.0141540093378707,0.90625,0.90625,,,,,
70,71,247264,2272,0.0182553960337099,0.875,0.875,,,,,
71,72,249344,2304,0.0163717201110875,0.9375,0.9375,,,,,
