,step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
0,1,41,1,0.1892468135803938,0.0,0.0,0.2103265919412176,0.0,0.0,,
1,1,57,1,0.1490786783849554,0.0,0.0,0.3720027588447556,0.0,0.0,,
2,2,114,2,0.1953295798759375,0.0,0.0,,,,,
3,2,82,2,0.2983870866121724,0.0,0.0,,,,,
4,3,123,3,0.2254710947275161,0.0,0.0,,,,,
5,3,147,3,0.3455771070765331,0.0,0.0,,,,,
6,4,196,4,0.1296583604967842,0.0,0.0,,,,,
7,4,212,4,0.0662158538765189,0.0,0.0,,,,,
8,5,253,5,0.1515197138935327,0.0,0.0,,,,,
9,5,261,5,0.0420469492138363,1.0,1.0,,,,,
10,6,294,6,0.0966559585370123,0.0,0.0,,,,,
11,6,294,6,0.0912799504771828,0.0,0.0,,,,,
12,7,327,7,0.0831073797494173,0.0,0.0,,,,,
13,7,343,7,0.0943461891387899,0.0,0.0,,,,,
14,8,376,8,0.0888591457251459,1.0,1.0,,,,,
15,8,392,8,0.0680252609960734,0.0,0.0,,,,,
16,9,417,9,0.0887027925550937,0.0,0.0,0.0813085043337196,1.0,1.0,,
17,9,433,9,0.0817499845921993,1.0,1.0,0.1179961584260066,0.0,0.0,,
18,10,466,10,0.0681250330433249,1.0,1.0,,,,,
19,10,466,10,0.1192164581812297,0.0,0.0,,,,,
20,11,507,11,0.1064509281143546,0.0,0.0,,,,,
21,11,547,11,0.0645768055543303,0.0,0.0,,,,,
22,12,588,12,0.0562495534047484,1.0,1.0,,,,,
23,12,580,12,0.1064309064050515,0.0,0.0,,,,,
24,13,661,13,0.0629096425324678,0.0,0.0,,,,,
25,13,613,13,0.0646048677712679,1.0,1.0,,,,,
26,14,646,14,0.1467297134175896,0.0,0.0,,,,,
27,14,702,14,0.1499803577363491,0.0,0.0,,,,,
28,15,671,15,0.1174339102705319,0.0,0.0,,,,,
29,15,767,15,0.0915089177247136,0.0,0.0,,,,,
30,16,808,16,0.0550553080439567,1.0,1.0,,,,,
