,step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
0,1,65,1,0.1812627390737179,0.0,0.0,0.2633502158615738,0.0,0.0,,
1,2,90,2,0.4209183623890081,0.0,0.0,,,,,
2,3,179,3,0.1038941606240008,0.0,0.0,,,,,
3,4,220,4,0.1927890539094805,0.0,0.0,,,,,
4,5,261,5,0.1818962298333645,0.0,0.0,,,,,
5,6,310,6,0.0434556261263787,1.0,1.0,,,,,
6,7,359,7,0.0652385785368581,0.0,0.0,,,,,
7,8,400,8,0.0517941726595163,1.0,1.0,,,,,
8,9,433,9,0.06326883578673,1.0,1.0,0.1735123841781169,0.0,0.0,,
9,10,474,10,0.1791648189146071,0.0,0.0,,,,,
10,11,523,11,0.06706819926699,1.0,1.0,,,,,
11,12,556,12,0.1671701456326991,0.0,0.0,,,,,
12,13,597,13,0.0485077061653137,1.0,1.0,,,,,
13,14,646,14,0.0525058263602356,1.0,1.0,,,,,
14,15,671,15,0.1768689180413881,0.0,0.0,,,,,
15,16,736,16,0.0571228258218616,0.0,0.0,,,,,
16,17,761,17,0.1052783852815628,0.0,0.0,0.0505671902426651,1.0,1.0,,
17,18,794,18,0.0777593286521732,0.0,0.0,,,,,
18,19,827,19,0.0877889717370271,0.0,0.0,,,,,
19,20,876,20,0.0760375022391478,0.0,0.0,,,,,
20,21,901,21,0.086338846112291,1.0,1.0,,,,,
21,22,942,22,0.0654818884134292,0.0,0.0,,,,,
22,23,991,23,0.043341736557583,1.0,1.0,,,,,
23,24,1056,24,0.0700895572453737,0.0,0.0,,,,,
24,25,1097,25,0.0762080279439687,0.0,0.0,0.0524516380684716,1.0,1.0,,
25,26,1186,26,0.0331391280957243,1.0,1.0,,,,,
26,27,1243,27,0.0737130674932684,0.0,0.0,,,,,
27,28,1300,28,0.0550264314029897,0.0,0.0,,,,,
28,29,1325,29,0.1150312267492214,0.0,0.0,,,,,
29,30,1398,30,0.0516129792895581,0.0,0.0,,,,,
30,31,1439,31,0.0601156887114048,1.0,1.0,,,,,
31,32,1472,32,0.0655471141263842,1.0,1.0,,,,,
32,33,1529,33,0.0526543897496802,0.0,0.0,0.0459959148118893,1.0,1.0,,
33,34,1562,34,0.0764365769922733,0.0,0.0,,,,,
34,35,1595,35,0.0609406676143407,1.0,1.0,,,,,
35,36,1644,36,0.0786265982190768,0.0,0.0,,,,,
36,37,1685,37,0.0741324767023325,0.0,0.0,,,,,
37,38,1742,38,0.0424577003610985,1.0,1.0,,,,,
38,39,1775,39,0.1304735004901886,0.0,0.0,,,,,
39,40,1808,40,0.0530760372057557,1.0,1.0,,,,,
40,41,1857,41,0.0632668087879816,0.0,0.0,0.0510089219734072,0.0,0.0,,
41,42,1898,42,0.0652332056760788,0.0,0.0,,,,,
42,43,1971,43,0.0423683835234906,1.0,1.0,,,,,
43,44,2004,44,0.0858996052481234,0.0,0.0,,,,,
44,45,2053,45,0.0504267688095569,1.0,1.0,,,,,
45,46,2102,46,0.076733959770451,0.0,0.0,,,,,
46,47,2159,47,0.0609110819974116,0.0,0.0,,,,,
47,48,2192,48,0.0733402402885258,1.0,1.0,,,,,
48,49,2233,49,0.0848769629001617,0.0,0.0,0.0576740977913141,0.0,0.0,,
49,50,2298,50,0.0463503039814531,0.0,0.0,,,,,
50,51,2323,51,0.0816236340254545,1.0,1.0,,,,,
51,52,2356,52,0.078295157700777,0.0,0.0,,,,,
52,53,2389,53,0.0712889620102942,0.0,0.0,,,,,
