MOF,PLD,Dimen
qmof-000512e.res,0.45069,nan
qmof-000741d.res,0.90163,nan
qmof-0009829.res,10.06783,3
qmof-000dce3.res,8.63622,3
qmof-004080b.res,7.72696,3
qmof-004e466.res,1.8714,nan
qmof-006d551.res,1.14156,nan
qmof-006f9b7.res,4.03843,2
qmof-0070c13.res,5.95512,3
qmof-00892f2.res,1.07447,nan
qmof-00980e4.res,7.8828,2
qmof-00b509c.res,2.33651,nan
qmof-00b7416.res,7.67824,3
qmof-00c212c.res,2.77244,1
qmof-00c8700.res,5.15664,3
qmof-00caa56.res,1.49008,nan
qmof-00d09fe.res,4.55803,3
qmof-00dfd91.res,1.25809,nan
qmof-00e335d.res,4.3105,2
qmof-00e611b.res,1.1256,nan
qmof-00eae24.res,5.47465,3
qmof-00ed6b6.res,0.85765,nan
qmof-00f576b.res,1.16793,nan
qmof-00f7b5b.res,9.11929,3
qmof-01027d7.res,7.77602,1
qmof-0103b7b.res,1.12208,nan
qmof-010521d.res,1.09637,nan
qmof-01060b4.res,1.18859,nan
qmof-010c828.res,4.38137,1
qmof-0111861.res,2.5328,1
qmof-0116630.res,11.70437,1
qmof-011709e.res,1.18065,nan
qmof-011c163.res,17.18088,3
qmof-0125ba9.res,1.27815,nan
qmof-0126d83.res,0.97918,nan
qmof-0134f52.res,2.00205,nan
qmof-0138e8e.res,4.1613,3
qmof-013919a.res,8.4854,3
qmof-01429b0.res,1.70918,nan
qmof-0142f6b.res,5.01008,3
qmof-0147aef.res,15.96155,3
qmof-0158018.res,0.84932,nan
qmof-0159028.res,1.06461,nan
qmof-01601f3.res,1.21645,nan
qmof-0162289.res,11.31799,2
qmof-0164af1.res,2.4668,1
qmof-0166122.res,13.01113,3
qmof-017128d.res,3.41576,3
qmof-0172c2a.res,1.81682,nan
qmof-01738d5.res,2.33398,nan
qmof-0182c67.res,13.53497,1
qmof-01931e7.res,5.0659,1
qmof-01a0a8c.res,1.09079,nan
qmof-01a5958.res,5.03343,3
qmof-01abf66.res,1.20844,nan
qmof-01ae350.res,12.08144,3
qmof-01be70a.res,10.33473,3
qmof-01cfceb.res,0.98535,nan
qmof-01d76cf.res,5.71187,3
qmof-01ddc61.res,0.88547,nan
qmof-01e3d00.res,5.99751,3
qmof-01ea939.res,9.1189,3
qmof-01ecb5c.res,0.94431,nan
qmof-01edd7e.res,1.06458,nan
qmof-01f6512.res,2.93212,1
qmof-01fd9b9.res,0.96592,nan
qmof-0205f07.res,9.75067,3
qmof-020e5f6.res,7.01578,3
qmof-0219702.res,3.63757,2
qmof-023bc51.res,4.07104,1
qmof-02592f2.res,8.57644,3
qmof-0264fa2.res,1.35661,nan
qmof-026e9ca.res,2.52365,1
qmof-026f191.res,11.64959,3
qmof-02753a5.res,1.07903,nan
qmof-0275f1b.res,2.89815,2
qmof-0280eec.res,1.02546,nan
qmof-02883dc.res,3.63943,3
qmof-028a08c.res,0.93719,nan
qmof-029d2b0.res,6.12467,3
qmof-02b8805.res,1.02963,nan
qmof-02c07e3.res,6.86693,1
qmof-02d00ee.res,0.81385,nan
qmof-02d0b18.res,7.16889,1
qmof-02d2885.res,3.42423,1
qmof-02d6206.res,1.22847,nan
qmof-02d74bc.res,6.48257,1
qmof-02dd69f.res,9.66456,3
qmof-02e0fb2.res,19.85419,1
qmof-02e17f1.res,5.69741,3
qmof-02ef78f.res,10.66457,3
qmof-02f3753.res,4.97761,3
qmof-02f9568.res,6.82822,3
qmof-02fae60.res,1.53454,nan
qmof-0307198.res,1.00981,nan
qmof-031e1d8.res,4.23275,3
qmof-0337f66.res,6.54622,1
qmof-033e292.res,6.78641,1
